file_path,failure_type,error_message
/home/heberto/data/khaliq_data/Electrophysiology recordings/Cells with AIS component/27 Sep 2021/C7/ADP/monk_sep27__0007.abf,data_read_error,mmap length is greater than file size
/home/heberto/data/khaliq_data/Electrophysiology recordings/Cells with AIS component/27 Sep 2021/C8/SF/monk_sep27__0015.abf,header_parse_error,'NoneType' object is not subscriptable
