ais_status,date_folder,cell_folder,protocol,file_name,session_start_time
False,27 Sep 2021,C34,CS,2021_09_27_0064.abf,2021-09-27T21:36:54
False,27 Sep 2021,C34,CS,2021_09_27_0065.abf,2021-09-27T21:38:06
False,27 Sep 2021,C34,ADP,2021_09_27_0066.abf,2021-09-27T21:39:18
False,28 Sep 2021,C35,SF,21928006.abf,2021-09-28T15:43:11
False,28 Sep 2021,C35,CS,21928007.abf,2021-09-28T15:50:18
False,28 Sep 2021,C35,ADP,21928008.abf,2021-09-28T15:52:21
False,28 Sep 2021,C36,SF,21928011.abf,2021-09-28T16:09:29
False,28 Sep 2021,C36,CS,21928012.abf,2021-09-28T16:14:15
False,28 Sep 2021,C36,ADP,21928013.abf,2021-09-28T16:16:08
False,29 Sep 2021,C37,SF,2021_09_29_0005.abf,2021-09-29T11:13:54
False,29 Sep 2021,C37,CS,2021_09_29_0006.abf,2021-09-29T11:18:24
False,29 Sep 2021,C37,CS,2021_09_29_0007.abf,2021-09-29T11:19:36
False,29 Sep 2021,C37,ADP,2021_09_29_0008.abf,2021-09-29T11:20:47
False,29 Sep 2021,C38,SF,2021_09_29_0015.abf,2021-09-29T11:54:33
False,29 Sep 2021,C38,CS,2021_09_29_0016.abf,2021-09-29T11:59:42
False,29 Sep 2021,C38,CS,2021_09_29_0017.abf,2021-09-29T12:00:46
False,29 Sep 2021,C38,ADP,2021_09_29_0018.abf,2021-09-29T12:02:00
False,29 Sep 2021,C39,SF,2021_09_29_0024.abf,2021-09-29T12:52:22
False,29 Sep 2021,C39,CS,2021_09_29_0025.abf,2021-09-29T12:58:02
False,29 Sep 2021,C39,CS,2021_09_29_0026.abf,2021-09-29T12:59:13
False,29 Sep 2021,C39,ADP,2021_09_29_0027.abf,2021-09-29T13:00:26
True,10 June 2021,C1,SF,21610014.abf,2021-06-10T17:08:28
True,10 June 2021,C1,CS,21610016.abf,2021-06-10T17:11:18
True,10 June 2021,C1,ADP,21610017.abf,2021-06-10T17:14:01
True,10 June 2021,C2,SF,21610041.abf,2021-06-10T21:52:24
True,10 June 2021,C2,CS,21610042.abf,2021-06-10T22:00:56
True,10 June 2021,C2,ADP,21610043.abf,2021-06-10T22:03:47
True,18 Jan 2022,C14,SF,22118007.abf,2022-01-18T14:12:33
True,18 Jan 2022,C14,CS,22118008.abf,2022-01-18T14:15:19
True,18 Jan 2022,C14,ADP,22118009.abf,2022-01-18T14:18:00
True,20 Apr 2022,C15,SF,22420012.abf,2022-04-20T17:40:36
True,20 Apr 2022,C15,CS,22420014.abf,2022-04-20T17:44:42
True,20 Apr 2022,C15,ADP,22420015.abf,2022-04-20T17:47:07
